==================Event report from lap 0 to 100==================

..................Infos..................
-Info: pullingBlind | Blind => Blind
-Info: pullingBlind | Blind => Blind
-Info: pullingBlind | Blind => Blind
-Info: pullingBlind | Blind => Blind
-Info: pullingBlind | Blind => Blind
-Info: pullingBlind | Blind => Blind
-Info: pullingBlind | Blind => Blind
-Info: pullingBlind | Blind => Blind
-Info: pullingBlind | Blind => Blind
-Info: pullingBlind | Blind => Blind
-Info: pullingBlind | Blind => Blind
-Info: pullingBlind | Blind => Blind
-Info: pullingBlind | Blind => Blind
-Info: pullingBlind | Blind => Blind
-Info: pullingBlind | Blind => Blind
-Info: insertingCD | Xbox xbox1 => Xbox xbox1
-Info: insertingCD | PC pc1 => PC pc1
-Info: insertingCD | PC pc4 => PC pc4
-Info: insertingCD | PlayStation playstation2 => PlayStation playstation2
-Info: insertingCD | PC pc3 => PC pc3
-Info: insertingCD | HiFi Tower hifi1 => HiFi Tower hifi1
-Info: insertingCD | PC pc2 => PC pc2
-Info: insertingCD | PlayStation playstation1 => PlayStation playstation1
-Info: insertingCD | Xbox xbox2 => Xbox xbox2
-Info: insertingCD | HiFi Tower hifi2 => HiFi Tower hifi2
-Info: insertingCD | PC pc5 => PC pc5
-Info: applianceUsage | Mom Elizabeth => Freezer freezer2
-Info: applianceUsage | Dad Michal => Freezer freezer1
-Info: applianceUsage | Mom Melanda => WashingMachine washing machine2
-Info: applianceUsage | Dad Matej => TV tv2
-Info: applianceUsage | Child Anna => Fridge fridge1
-Info: applianceUsage | Child Jack => Freezer freezer1
-Info: applianceUsage | Child Anna => TV tv1
-Info: applianceUsage | Mom Elizabeth => Freezer freezer1
-Info: applianceUsage | Dad Michal => Xbox xbox1
-Info: applianceUsage | Child Jack => PC pc1
-Info: applianceUsage | Mom Elizabeth => PC pc4
-Info: applianceUsage | Dad Matej => Fridge fridge2
-Info: applianceUsage | Child Anna => WashingMachine washing machine1
-Info: applianceUsage | Child Jack => PlayStation playstation2
