==================Event report from lap 50 to 100==================

..................Infos..................
-Info: watchingTV | Child Anna => TV tv1
-Info: watchingTV | Dad Matej => TV tv2
-Info: watchingTV | Dad Matej => TV tv2
-Info: watchingTV | Dad Matej => TV tv1
-Info: watchingTV | Dad Matej => TV tv1
-Info: turningIdleAppliance | TV tv1 => TV tv1
-Info: turningIdleAppliance | TV tv2 => TV tv2
-Info: turningIdleAppliance | TV tv2 => TV tv2
-Info: turningIdleAppliance | TV tv1 => TV tv1
-Info: turningIdleAppliance | TV tv1 => TV tv1
-Info: applianceUsage | Child Anna => Xbox xbox2
-Info: applianceUsage | Dad Matej => Fridge fridge1
-Info: applianceUsage | Child Anna => TV tv1
-Info: applianceUsage | Dad Matej => Xbox xbox2
-Info: applianceUsage | Dad Matej => TV tv2
-Info: applianceUsage | Child Anna => HiFi Tower hifi3
-Info: applianceUsage | Child Anna => WashingMachine washing machine2
-Info: applianceUsage | Dad Matej => PC pc4
-Info: applianceUsage | Dad Matej => TV tv2
-Info: applianceUsage | Dad Matej => TV tv1
-Info: applianceUsage | Dad Matej => PlayStation playstation1
-Info: applianceUsage | Dad Matej => TV tv1
-Info: applianceUsage | Dad Matej => HiFi Tower hifi3
-Info: applianceUsage | Dad Matej => Fridge fridge1
-Info: applianceUsage | Dad Matej => PlayStation playstation1
-Info: applianceUsage | Dad Matej => WashingMachine washing machine1
-Info: cheeringUpChild | Dad Michal => Child Anna
-Info: cheeringUpChild | Mom Melanda => Child Anna
-Info: ejectingCD | Xbox xbox2 => Xbox xbox2
-Info: ejectingCD | Xbox xbox2 => Xbox xbox2
-Info: ejectingCD | HiFi Tower hifi3 => HiFi Tower hifi3
-Info: ejectingCD | PC pc4 => PC pc4
-Info: ejectingCD | PlayStation playstation1 => PlayStation playstation1
-Info: ejectingCD | HiFi Tower hifi3 => HiFi Tower hifi3
-Info: ejectingCD | PlayStation playstation1 => PlayStation playstation1
-Info: eatFood | Fridge fridge1 => Fridge fridge1
-Info: eatFood | Fridge fridge1 => Fridge fridge1
-Info: turningOnAppliance | TV tv1 => TV tv1
-Info: turningOnAppliance | TV tv2 => TV tv2
-Info: turningOnAppliance | TV tv2 => TV tv2
-Info: turningOnAppliance | TV tv1 => TV tv1
-Info: turningOnAppliance | TV tv1 => TV tv1
-Info: animalSound | Ferret => Ferret
-Info: animalSound | Dog => Dog
-Info: animalSound | Cat => Cat
-Info: animalSound | Ferret => Ferret
-Info: animalSound | Dog => Dog
-Info: animalSound | Cat => Cat
-Info: animalSound | Ferret => Ferret
-Info: animalSound | Dog => Dog
-Info: animalSound | Cat => Cat
-Info: animalSound | Ferret => Ferret
-Info: animalSound | Dog => Dog
-Info: animalSound | Cat => Cat
-Info: animalSound | Ferret => Ferret
-Info: animalSound | Dog => Dog
-Info: animalSound | Cat => Cat
-Info: animalSound | Ferret => Ferret
-Info: animalSound | Dog => Dog
-Info: animalSound | Cat => Cat
-Info: animalSound | Ferret => Ferret
-Info: animalSound | Dog => Dog
-Info: animalSound | Cat => Cat
-Info: animalSound | Ferret => Ferret
-Info: animalSound | Dog => Dog
-Info: animalSound | Cat => Cat
-Info: animalSound | Ferret => Ferret
-Info: animalSound | Dog => Dog
-Info: animalSound | Cat => Cat
-Info: animalSound | Ferret => Ferret
-Info: animalSound | Dog => Dog
-Info: animalSound | Cat => Cat
-Info: animalSound | Ferret => Ferret
-Info: animalSound | Dog => Dog
-Info: animalSound | Cat => Cat
-Info: animalSound | Ferret => Ferret
-Info: animalSound | Dog => Dog
-Info: animalSound | Cat => Cat
-Info: animalSound | Ferret => Ferret
-Info: animalSound | Dog => Dog
-Info: animalSound | Cat => Cat
-Info: animalSound | Ferret => Ferret
-Info: animalSound | Dog => Dog
