==================Event report from lap 5 to 10==================

..................Infos..................
-Info: animalSound | Dog => Dog
-Info: animalSound | Cat => Cat
-Info: animalSound | Ferret => Ferret
-Info: animalSound | Dog => Dog
-Info: animalSound | Cat => Cat
-Info: animalSound | Ferret => Ferret
-Info: animalSound | Dog => Dog
-Info: animalSound | Cat => Cat
-Info: animalSound | Ferret => Ferret
-Info: animalSound | Dog => Dog
-Info: animalSound | Cat => Cat
-Info: animalSound | Ferret => Ferret
-Info: animalSound | Dog => Dog
-Info: animalSound | Cat => Cat
-Info: animalSound | Ferret => Ferret
-Info: workingOnPC | PC pc5 => PC pc5
-Info: cheeringUpChild | Dad Michal => Child Anna
-Info: playingCD | PlayStation playstation2 => PlayStation playstation2
-Info: insertingCD | PC pc5 => PC pc5
-Info: insertingCD | PC pc2 => PC pc2
-Info: turningOnAppliance | WashingMachine washing machine2 => WashingMachine washing machine2
-Info: turningOnAppliance | PC pc2 => PC pc2
-Info: applianceUsage | Child Anna => WashingMachine washing machine2
-Info: applianceUsage | Dad Matej => WashingMachine washing machine1
-Info: applianceUsage | Dad Michal => PC pc2
-Info: ejectingCD | PlayStation playstation1 => PlayStation playstation1
-Info: ejectingCD | PlayStation playstation2 => PlayStation playstation2
-Info: ejectingCD | PC pc5 => PC pc5
-Info: callingFireman | Mom Elizabeth => bathroom
-Info: callingFireman | Mom Melanda => living room
-Info: callingFireman | Mom Elizabeth => bedroom1

..................Alerts..................
-Alert: fire | FireSensor => ControlUnit
-Alert: fire | FireSensor => ControlUnit
-Alert: fire | FireSensor => ControlUnit
-Alert: wind | WindSensor => ControlUnit
-Alert: wind | WindSensor => ControlUnit


