==================Event report from lap 5 to 10==================

..................Infos..................
-Info: turningOnAppliance | HiFi Tower hifi2 => HiFi Tower hifi2
-Info: turningOnAppliance | TV tv2 => TV tv2
-Info: turningOnAppliance | TV tv1 => TV tv1
-Info: turningOnAppliance | PC pc2 => PC pc2
-Info: turningOnAppliance | WashingMachine washing machine1 => WashingMachine washing machine1
-Info: insertingCD | HiFi Tower hifi2 => HiFi Tower hifi2
-Info: insertingCD | PC pc2 => PC pc2
-Info: extinguishingFire | Dad Matej => kitchen
-Info: playingCD | HiFi Tower hifi2 => HiFi Tower hifi2
-Info: workingOnPC | PC pc5 => PC pc5
-Info: ejectingCD | HiFi Tower hifi3 => HiFi Tower hifi3
-Info: ejectingCD | PC pc4 => PC pc4
-Info: ejectingCD | Xbox xbox2 => Xbox xbox2
-Info: ejectingCD | PlayStation playstation1 => PlayStation playstation1
-Info: ejectingCD | PlayStation playstation1 => PlayStation playstation1
-Info: ejectingCD | PC pc4 => PC pc4
-Info: ejectingCD | PC pc5 => PC pc5
-Info: ejectingCD | PC pc5 => PC pc5
-Info: applianceUsage | Dad Matej => Freezer freezer1
-Info: applianceUsage | Dad Michal => HiFi Tower hifi2
-Info: applianceUsage | Child Anna => TV tv2
-Info: applianceUsage | Mom Elizabeth => Fridge fridge1
-Info: applianceUsage | Mom Melanda => Freezer freezer2
-Info: applianceUsage | Dad Matej => TV tv1
-Info: applianceUsage | Mom Elizabeth => PlayStation playstation1
-Info: applianceUsage | Mom Melanda => PC pc4
-Info: applianceUsage | Mom Elizabeth => PC pc2
-Info: applianceUsage | Mom Melanda => Freezer freezer2
-Info: applianceUsage | Child Jack => WashingMachine washing machine1
-Info: applianceUsage | Mom Melanda => PC pc5
-Info: animalSound | Cat => Cat
-Info: animalSound | Dog => Dog
-Info: animalSound | Ferret => Ferret
-Info: animalSound | Cat => Cat
-Info: animalSound | Dog => Dog
-Info: animalSound | Ferret => Ferret
-Info: animalSound | Cat => Cat
-Info: animalSound | Dog => Dog
-Info: animalSound | Ferret => Ferret
-Info: animalSound | Cat => Cat
-Info: animalSound | Dog => Dog
-Info: animalSound | Ferret => Ferret
-Info: animalSound | Cat => Cat
-Info: animalSound | Dog => Dog
-Info: animalSound | Ferret => Ferret
-Info: eatFood | Freezer freezer1 => Freezer freezer1
-Info: eatFood | Fridge fridge1 => Fridge fridge1
-Info: eatFood | Freezer freezer2 => Freezer freezer2
-Info: eatFood | Freezer freezer2 => Freezer freezer2
-Info: watchingTV | Child Anna => TV tv2
-Info: watchingTV | Dad Matej => TV tv1

..................Alerts..................
-Alert: wind | WindSensor => ControlUnit


